SRS RGASoft 4.1.0 - Residual Gas Analyzer Software
Document Created on, Thursday, October 9, 2025 11:25:23 AM, Central Daylight Time
RGA ID, SRSRGA200VER0.24SN18194


Scan Mode, Analog
Number of Data Points, 3726
Units, Torr
Start Mass, 1, AMU
Stop Mass, 150, AMU
Points Per AMU, 25
Scan Rate, 5.00
Detector, Faraday Cup
Focus Voltage, 90, V
Ion Energy, 12, eV
Electron Energy, 70, eV
CEM Voltage, 0, V
CEM Gain, 1.145
Partial Pressure Sensitivity Factor, 5.64
Total Pressure Sensitivity Factor, 0.237
Filament Current, 1.60, mA


Analog Scan Data
----------------

              Mass (AMU),         Intensity (Torr)
                    1.00,               2.2961e-11
                    1.04,               2.6631e-11
                    1.08,               4.5816e-11
                    1.12,               1.1245e-10
                    1.16,               7.4126e-10
                    1.20,               6.3894e-09
                    1.24,               7.1040e-09
                    1.28,               2.7919e-09
                    1.32,               1.2949e-09
                    1.36,               7.4082e-10
                    1.40,               5.1585e-10
                    1.44,               5.0902e-10
                    1.48,               1.5284e-09
                    1.52,               5.4184e-09
                    1.56,               7.8337e-09
                    1.60,               8.7254e-09
                    1.64,               9.4860e-09
                    1.68,               1.0524e-08
                    1.72,               1.1246e-08
                    1.76,               1.1523e-08
                    1.80,               1.1243e-08
                    1.84,               1.0749e-08
                    1.88,               1.1245e-08
                    1.92,               1.1650e-08
                    1.96,               1.0869e-08
                    2.00,               1.0438e-08
                    2.04,               1.0441e-08
                    2.08,               9.3910e-09
                    2.12,               8.7936e-09
                    2.16,               8.5137e-09
                    2.20,               7.0544e-09
                    2.24,               5.9477e-09
                    2.28,               3.5382e-09
                    2.32,               1.4121e-09
                    2.36,               6.9395e-10
                    2.40,               4.1773e-10
                    2.44,               2.7966e-10
                    2.48,               1.8957e-10
                    2.52,               1.3963e-10
                    2.56,               1.0894e-10
                    2.60,               8.4433e-11
                    2.64,               6.4291e-11
                    2.68,               5.3369e-11
                    2.72,               4.4131e-11
                    2.76,               3.2340e-11
                    2.80,               3.0745e-11
                    2.84,               2.4628e-11
                    2.88,               2.1117e-11
                    2.92,               1.6702e-11
                    2.96,               1.2074e-11
                    3.00,               8.4397e-12
                    3.04,               1.2004e-11
                    3.08,               7.8901e-12
                    3.12,               9.8936e-12
                    3.16,               8.5106e-12
                    3.20,               4.2199e-12
                    3.24,               6.5071e-12
                    3.28,               7.4113e-12
                    3.32,               2.7837e-12
                    3.36,               3.2624e-12
                    3.40,              -4.4326e-13
                    3.44,              -1.6312e-12
                    3.48,               5.6028e-12
                    3.52,               5.0532e-12
                    3.56,               4.7695e-12
                    3.60,               1.4007e-12
                    3.64,               3.0674e-12
                    3.68,               2.4823e-13
                    3.72,               6.7908e-12
                    3.76,               2.8546e-12
                    3.80,               4.9113e-12
                    3.84,               8.6879e-13
                    3.88,              -4.1489e-12
                    3.92,              -2.9787e-12
                    3.96,              -3.3688e-13
                    4.00,              -4.9823e-12
                    4.04,              -1.4894e-12
                    4.08,              -1.1525e-12
                    4.12,              -3.8652e-12
                    4.16,               3.6702e-12
                    4.20,              -7.4468e-13
                    4.24,              -2.1277e-12
                    4.28,              -1.6312e-12
