SRS RGASoft 4.1.0 - Residual Gas Analyzer Software
Document Created on, Friday, October 10, 2025 10:32:26 AM, Central Daylight Time
RGA ID, SRSRGA200VER0.24SN18194


Scan Mode, Analog
Number of Data Points, 3726
Units, Torr
Start Mass, 1, AMU
Stop Mass, 150, AMU
Points Per AMU, 25
Scan Rate, 5.00
Detector, Faraday Cup
Focus Voltage, 90, V
Ion Energy, 12, eV
Electron Energy, 70, eV
CEM Voltage, 0, V
CEM Gain, 1.145
Partial Pressure Sensitivity Factor, 5.64
Total Pressure Sensitivity Factor, 0.237
Filament Current, 1.60, mA


Analog Scan Data
----------------

              Mass (AMU),         Intensity (Torr)
                    1.00,               4.7926e-11
                    1.04,               5.5319e-11
                    1.08,               6.8156e-11
                    1.12,               8.3528e-11
                    1.16,               1.1204e-10
                    1.20,               2.5668e-10
                    1.24,               5.6695e-10
                    1.28,               7.2777e-10
                    1.32,               6.0954e-10
                    1.36,               4.7463e-10
                    1.40,               3.9746e-10
                    1.44,               3.5271e-10
                    1.48,               3.6773e-10
                    1.52,               4.5516e-10
                    1.56,               5.3956e-10
                    1.60,               5.9801e-10
                    1.64,               6.6599e-10
                    1.68,               7.2002e-10
                    1.72,               7.7550e-10
                    1.76,               8.4236e-10
                    1.80,               9.0785e-10
                    1.84,               9.8496e-10
                    1.88,               1.0490e-09
                    1.92,               1.0895e-09
                    1.96,               1.1366e-09
                    2.00,               1.1528e-09
                    2.04,               1.1338e-09
                    2.08,               1.1038e-09
                    2.12,               1.0838e-09
                    2.16,               1.0788e-09
                    2.20,               1.0180e-09
                    2.24,               9.4404e-10
                    2.28,               7.8067e-10
                    2.32,               5.6129e-10
                    2.36,               3.4534e-10
                    2.40,               2.2576e-10
                    2.44,               1.5438e-10
                    2.48,               1.0488e-10
                    2.52,               6.7376e-11
                    2.56,               4.3936e-11
                    2.60,               2.7358e-11
                    2.64,               1.8794e-11
                    2.68,               1.3457e-11
                    2.72,               6.1348e-12
                    2.76,               2.3936e-12
                    2.80,              -2.3582e-12
                    2.84,              -2.1277e-13
                    2.88,               3.8652e-12
                    2.92,              -2.8369e-13
                    2.96,              -7.5355e-12
                    3.00,              -7.3404e-12
                    3.04,              -1.2216e-11
                    3.08,              -1.1613e-11
                    3.12,              -5.3369e-12
                    3.16,              -5.5496e-12
                    3.20,              -9.8050e-12
                    3.24,              -1.1277e-11
                    3.28,              -1.1755e-11
                    3.32,              -9.8759e-12
                    3.36,              -1.1879e-11
                    3.40,              -1.3972e-11
                    3.44,              -1.0922e-11
                    3.48,              -1.3546e-11
                    3.52,              -1.2429e-11
                    3.56,              -1.0284e-11
                    3.60,              -9.8759e-12
                    3.64,              -1.5514e-11
                    3.68,              -1.5514e-11
                    3.72,              -1.6348e-11
                    3.76,              -1.6844e-11
                    3.80,              -1.2943e-11
                    3.84,              -1.2039e-11
                    3.88,              -1.3422e-11
                    3.92,              -1.0018e-11
                    3.96,              -1.1401e-11
                    4.00,              -5.3191e-12
                    4.04,              -3.7589e-12
                    4.08,              -6.2234e-12
                    4.12,              -8.0851e-12
                    4.16,              -1.2092e-11
                    4.20,              -1.3759e-11
                    4.24,              -1.2092e-11
