LECROYWR6050,13141,Histogram
Segments,1,SegmentSize,100
Segment,TrigTime,TimeSinceSegment1
#1,01-Jan-2002 01:22:03,0                 
Time,Ampl
-0.0168,0
-0.0166,0
-0.0164,0
-0.0162,0
-0.016,0
-0.0158,0
-0.0156,2
-0.0154,2
-0.0152,0
-0.015,0
-0.0148,0
-0.0146,0
-0.0144,1
-0.0142,0
-0.014,0
-0.0138,0
-0.0136,0
-0.0134,0
-0.0132,0
-0.013,0
-0.0128,1
-0.0126,2
-0.0124,1
-0.0122,0
-0.012,0
-0.0118,0
-0.0116,0
-0.0114,2
-0.0112,1
-0.011,0
-0.0108,1
-0.0106,1
-0.0104,4
-0.0102,4
-0.01,4
-0.0098,1
-0.0096,3
-0.0094,5
-0.0092,5
-0.009,3
-0.0088,2
-0.0086,6
-0.0084,1
-0.0082,5
-0.008,5
-0.0078,8
-0.0076,3
-0.0074,5
-0.0072,9
-0.007,7
-0.0068,9
-0.0066,11
-0.0064,13
-0.0062,13
-0.006,11
-0.0058,15
-0.0056,17
-0.0054,17
-0.0052,27
-0.005,23
-0.0048,24
-0.0046,21
-0.0044,35
-0.0042,29
-0.004,32
-0.0038,46
-0.0036,35
-0.0034,33
-0.0032,35
-0.003,39
-0.0028,54
-0.0026,58
-0.0024,95
-0.0022,56
-0.002,57
-0.0018,37
-0.0016,40
-0.0014,16
-0.0012,6
-0.001,0
-0.0008,0
-0.0006,0
-0.0004,0
-0.0002,0
6.45e-018,0
0.0002,0
0.0004,0
0.0006,0
0.0008,0
0.001,0
0.0012,0
0.0014,0
0.0016,0
0.0018,0
0.002,0
0.0022,0
0.0024,0
0.0026,0
0.0028,0
0.003,0
