SRS RGASoft 4.1.0 - Residual Gas Analyzer Software
Document Created on, Thursday, October 9, 2025 1:42:28 PM, Central Daylight Time
RGA ID, SRSRGA200VER0.24SN18194


Scan Mode, Analog
Number of Data Points, 3726
Units, Torr
Start Mass, 1, AMU
Stop Mass, 150, AMU
Points Per AMU, 25
Scan Rate, 5.00
Detector, Faraday Cup
Focus Voltage, 90, V
Ion Energy, 12, eV
Electron Energy, 70, eV
CEM Voltage, 0, V
CEM Gain, 1.145
Partial Pressure Sensitivity Factor, 5.64
Total Pressure Sensitivity Factor, 0.237
Filament Current, 1.60, mA


Analog Scan Data
----------------

              Mass (AMU),         Intensity (Torr)
                    1.00,               6.4858e-11
                    1.04,               7.2500e-11
                    1.08,               8.9344e-11
                    1.12,               1.2059e-10
                    1.16,               1.7879e-10
                    1.20,               4.6619e-10
                    1.24,               9.5702e-10
                    1.28,               9.6931e-10
                    1.32,               7.7035e-10
                    1.36,               6.1200e-10
                    1.40,               5.1926e-10
                    1.44,               5.1230e-10
                    1.48,               7.2424e-10
                    1.52,               1.4718e-09
                    1.56,               2.4031e-09
                    1.60,               3.2577e-09
                    1.64,               3.6963e-09
                    1.68,               4.0015e-09
                    1.72,               4.2865e-09
                    1.76,               4.5696e-09
                    1.80,               4.8941e-09
                    1.84,               5.0797e-09
                    1.88,               5.1460e-09
                    1.92,               5.4663e-09
                    1.96,               5.5838e-09
                    2.00,               5.1698e-09
                    2.04,               4.8342e-09
                    2.08,               4.8859e-09
                    2.12,               4.8872e-09
                    2.16,               4.4835e-09
                    2.20,               4.1763e-09
                    2.24,               3.6482e-09
                    2.28,               2.5808e-09
                    2.32,               1.3327e-09
                    2.36,               6.9369e-10
                    2.40,               4.3098e-10
                    2.44,               2.8236e-10
                    2.48,               1.9629e-10
                    2.52,               1.4199e-10
                    2.56,               9.8652e-11
                    2.60,               7.9805e-11
                    2.64,               5.4309e-11
                    2.68,               3.9610e-11
                    2.72,               3.0691e-11
                    2.76,               1.9858e-11
                    2.80,               1.4167e-11
                    2.84,               1.7358e-11
                    2.88,               6.7908e-12
                    2.92,               6.9326e-12
                    2.96,               5.0709e-12
                    3.00,              -4.7872e-13
                    3.04,               3.2270e-12
                    3.08,               6.0638e-12
                    3.12,               1.0816e-12
                    3.16,               1.6489e-12
                    3.20,              -2.4468e-12
                    3.24,              -8.0496e-12
                    3.28,              -2.1631e-12
                    3.32,              -4.1312e-12
                    3.36,              -4.2730e-12
                    3.40,              -4.9645e-12
                    3.44,              -1.0124e-11
                    3.48,              -9.7163e-12
                    3.52,              -3.0142e-12
                    3.56,              -7.7660e-12
                    3.60,              -3.5816e-12
                    3.64,              -3.2979e-12
                    3.68,              -9.8582e-12
                    3.72,              -5.1064e-12
                    3.76,              -3.7057e-12
                    3.80,              -8.1915e-12
                    3.84,              -6.9326e-12
                    3.88,              -5.5319e-12
                    3.92,              -1.0408e-11
                    3.96,              -2.7305e-12
                    4.00,              -7.0567e-12
                    4.04,              -7.7660e-12
                    4.08,              -9.5745e-12
                    4.12,              -1.3032e-11
                    4.16,              -1.2057e-11
                    4.20,              -4.5567e-12
                    4.24,              -9.4326e-12
